Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M70313020502;M700;M703;13;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020501;M700;M703;13;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020405;M700;M703;13;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020404;M700;M703;13;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020403;M700;M703;13;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020402;M700;M703;13;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020401;M700;M703;13;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020305;M700;M703;13;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020304;M700;M703;13;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020303;M700;M703;13;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020302;M700;M703;13;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020301;M700;M703;13;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020205;M700;M703;13;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020204;M700;M703;13;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020203;M700;M703;13;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020202;M700;M703;13;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020201;M700;M703;13;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020105;M700;M703;13;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020104;M700;M703;13;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020103;M700;M703;13;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020102;M700;M703;13;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70313020101;M700;M703;13;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020605;M700;M703;12;06;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020604;M700;M703;12;06;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020603;M700;M703;12;06;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020602;M700;M703;12;06;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020601;M700;M703;12;06;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020505;M700;M703;12;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020504;M700;M703;12;05;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020503;M700;M703;12;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020502;M700;M703;12;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020501;M700;M703;12;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020405;M700;M703;12;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020404;M700;M703;12;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020403;M700;M703;12;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020402;M700;M703;12;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020401;M700;M703;12;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020305;M700;M703;12;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020304;M700;M703;12;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020303;M700;M703;12;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020302;M700;M703;12;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020301;M700;M703;12;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020205;M700;M703;12;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020204;M700;M703;12;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020203;M700;M703;12;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020202;M700;M703;12;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020201;M700;M703;12;02;01;X;X;Controlados;Estanteria;2;Estanteria;B2ES
M70312020105;M700;M703;12;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020104;M700;M703;12;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020103;M700;M703;12;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020102;M700;M703;12;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70312020101;M700;M703;12;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020505;M700;M703;11;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020504;M700;M703;11;05;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020503;M700;M703;11;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020502;M700;M703;11;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020501;M700;M703;11;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020405;M700;M703;11;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020404;M700;M703;11;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020403;M700;M703;11;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020402;M700;M703;11;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020401;M700;M703;11;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020305;M700;M703;11;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020304;M700;M703;11;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020303;M700;M703;11;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020302;M700;M703;11;03;02;X;X;Controlados;Estanteria;2;Estanteria;B2ES
M70311020301;M700;M703;11;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020205;M700;M703;11;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020204;M700;M703;11;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020203;M700;M703;11;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020202;M700;M703;11;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020201;M700;M703;11;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020105;M700;M703;11;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020104;M700;M703;11;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
